state,county,lat,long
NE,CHERRY,42.5449,-101.1186
VA,POWHATAN,37.5502,-77.9151
VA,CAROLINE,38.0272,-77.3475
MS,TALLAHATCHIE,33.9505,-90.1732
NC,PERQUIMANS,36.2069,-76.4419
MI,LIVINGSTON,42.603,-83.9115
NC,PITT,35.5935,-77.3748
MN,CARVER,44.8208,-93.8025
MO,PUTNAM,40.4789,-93.0161
NC,CRAVEN,35.1262,-77.0969
NC,MOORE,35.3107,-79.4813
IL,EDGAR,39.6786,-87.7456
PA,VENANGO,41.401,-79.758
FL,SANTA ROSA,30.732,-87.0172
IN,JEFFERSON,38.7858,-85.4385
KS,SCOTT,38.4822,-100.9069
KS,GREENWOOD,37.8778,-96.2327
MD,WASHINGTON,39.6037,-77.8142
MI,MONTCALM,43.311,-85.1524
MN,NICOLLET,44.35,-94.2474
TN,MAURY,35.617,-87.077
SD,DOUGLAS,43.3871,-98.3662
KS,WABAUNSEE,38.9533,-96.2049
AL,GREENE,32.8531,-87.9522
IA,LYON,43.3805,-96.2103
PA,LYCOMING,41.3433,-77.0645
NY,WASHINGTON,43.3137,-73.4307
MO,CEDAR,37.7238,-93.8566
OH,MEDINA,41.1176,-81.8997
IN,LAGRANGE,41.6427,-85.4265
GA,TERRELL,31.7768,-84.4368
VA,ROCKINGHAM,38.5122,-78.8758
MS,SCOTT,32.4064,-89.5376
OK,LINCOLN,35.703,-96.8809
IL,RANDOLPH,38.0521,-89.8253
AR,LOGAN,35.2153,-93.7163
IN,RUSH,39.6199,-85.4658
WI,EAU CLAIRE,44.7268,-91.2861
GA,PULASKI,32.2328,-83.4764
TN,SUMNER,36.4694,-86.4603
IA,WINNEBAGO,43.3775,-93.7342
KY,MONTGOMERY,38.0336,-83.9132
OH,LUCAS,41.62,-83.6586
KS,NEMAHA,39.7835,-96.0141
MO,SALINE,39.1366,-93.2022
SD,GRANT,45.172,-96.7677
WI,SHEBOYGAN,43.7212,-87.9454
MO,DALLAS,37.6804,-93.0236
WI,CLARK,44.7347,-90.6121
KS,WICHITA,38.4821,-101.3474
SC,HAMPTON,32.7763,-81.1406
AL,CHILTON,32.8479,-86.7188
NE,RICHARDSON,40.1249,-95.7167
KY,CLARK,37.9709,-84.1475
IA,SAC,42.3862,-95.1055
WI,WAUSHARA,44.1131,-89.2429
IA,VAN BUREN,40.7532,-91.95
OH,CLARK,39.9168,-83.7835
MS,TUNICA,34.652,-90.3755
NE,BUTLER,41.225,-97.1314
IN,POSEY,38.0218,-87.8684
KS,NORTON,39.7844,-99.9034
KS,LANE,38.4814,-100.4664
WI,SAWYER,45.88,-91.1447
KS,LABETTE,37.1913,-95.2976
IN,FULTON,41.047,-86.2636
TN,WARREN,35.6787,-85.7785
WI,WASHINGTON,43.3684,-88.2308
IN,WHITLEY,41.1394,-85.5052
OK,MCCURTAIN,34.115,-94.7712
MN,PINE,46.1208,-92.7414
ND,GRAND FORKS,47.9219,-97.457
KY,TRIMBLE,38.613,-85.3374
MN,MCLEOD,44.8235,-94.2724
WI,WAUKESHA,43.0181,-88.3045
SC,MARLBORO,34.602,-79.6786
AL,BARBOUR,31.8696,-85.3932
NC,MECKLENBURG,35.2468,-80.8328
NC,GATES,36.4449,-76.7011
NE,THAYER,40.1763,-97.5947
AR,SEBASTIAN,35.1993,-94.274
AR,YELL,35.0026,-93.4113
NC,CHOWAN,36.1507,-76.608
IA,MUSCATINE,41.4839,-91.1127
OH,STARK,40.8138,-81.3659
IN,WABASH,40.8457,-85.794
IL,STARK,41.0934,-89.7975
IL,MENARD,40.0274,-89.8022
SC,CHESTER,34.6921,-81.1595
OH,WASHINGTON,39.4553,-81.4953
IL,WILL,41.445,-87.9787
IN,SWITZERLAND,38.8262,-85.037
MS,SUNFLOWER,33.6023,-90.5886
KY,HARDIN,37.6979,-85.9635
SC,WILLIAMSBURG,33.6199,-79.7277
NE,DEUEL,41.1116,-102.3339
NC,CAMDEN,36.3902,-76.2101
TX,BURLESON,30.4924,-96.621
AL,MONROE,31.5706,-87.3658
IA,BENTON,42.0801,-92.0657
